Page ID	Name	Creation Date	Type	Louvain Community	Final In Degree	EC Estimate	Fraction of total pageviews (July 2015)	Number of Edits	Unique Editors	Number of Talk Page Edits	Unique Talk Page Editors	Page Size
55	Admitting_you're_wrong	2009-12-29 22:49:51 UTC	Essay	2	0	0.00015701571727329906	3.1809179562985174e-05	24	16	3	3	4546
56	Advanced_article_editing	2009-04-01 13:28:10 UTC	Essay	7	0	0.0004416442085852794	0.0006836475502934771	37	20	3	3	4864
57	Advanced_disambiguation_issues	2009-07-15 12:43:54 UTC	Essay	7	0	0.00015761577733931165	6.828148492577969e-06	8	6	2	2	5549
58	Advanced_footnote_formatting	2009-01-28 08:53:08 UTC	Essay	7	0	0.0004359436379581596	3.297496101293751e-05	23	7	5	5	7136
59	Advanced_table_formatting	2009-04-21 18:05:45 UTC	Essay	7	0	0.0003795379917529745	0.0009827537623098195	35	19	4	4	4136
60	Advanced_template_coding	2010-03-14 13:01:01 UTC	Essay	7	0	0.0004998500349885024	0.0007439351052767265	26	17	10	10	6263
61	Advice_for_new_administrators	2007-01-26 16:36:28 UTC	Essay	3	0	0.00046864691155584673	0.000204511374363067	95	45	4	4	2430
62	Advice_for_parents	2008-06-19 02:04:28 UTC	Essay	3	0	0.0003447345079242432	0.0011584536808383502	228	118	40	40	1755
63	Advisory_Council_on_Project_Development	2009-07-11 13:14:38 UTC	Proposal	3	0	0.0001297129842697254	5.8289072497616805e-06	113	30	269	269	2265
64	Advocacy	2005-04-30 21:44:54 UTC	Essay	2	0	0.0007435744318006232	0.000204511374363067	94	34	167	167	57
65	Advocacy_articles	2009-11-05 11:55:10 UTC	Essay	2	0	0.00020222024224624886	2.264946817050253e-05	41	17	19	19	4249
66	AfD_and_mergers	2009-03-30 02:34:38 UTC	Essay	2	0	0.00010341035137617276	8.160470149666353e-06	22	6	15	15	3679
67	Afd_categories	2006-05-23 13:25:23 UTC	Other	-1	0	8.730873960483445e-05	1.6987101127876898e-05	249	100	70	70	3679
68	Age_and_adminship	2008-06-26 14:03:36 UTC	Essay	3	0	0.00012111212332354468	1.615440009219666e-05	49	24	41	41	1035
69	Age_calculation_templates	2007-12-16 06:32:14 UTC	Essay	4	0	8.560856941779872e-05	3.230880018439332e-05	39	27	15	15	1476
70	Aggregate_data_into_lists_rather_than_stubs	2011-10-30 09:44:43 UTC	Essay	1	0	8.460846930777771e-05	1.3323216570883842e-05	6	5	0	0	3730
71	Alert	2009-02-17 16:52:22 UTC	Essay	7	0	0.00025032505753825956	2.7645674384583974e-05	53	10	5	5	4169
72	All_high_schools_can_be_notable	2011-08-25 22:50:56 UTC	Essay	1	0	0.0001142114325643997	2.8311835213128164e-06	42	8	18	18	708
73	Allegations_of_allegations_of_apartheid_apartheid	2007-09-10 11:59:57 UTC	Humor	1	0	8.940894983587858e-05	6.495068078305873e-06	52	18	20	20	799
74	Allow_time_to_melt_and_look_again	2010-07-04 14:26:00 UTC	Essay	7	0	0.0001286128741487023	1.598785988506061e-05	11	8	0	0	3602
75	Alternative_outlets	2004-10-25 00:31:35 UTC	Essay	1	0	0.0008945895484137963	0.0003817101547558221	270	147	50	50	2426
76	Alternatives_to_reversion	2010-10-22 21:02:02 UTC	Essay	2	0	0.00017851786963875085	9.825872221026834e-06	13	5	2	2	1249
77	Ambox_classes	2007-09-19 11:51:37 UTC	Proposal	3	0	8.730873960483445e-05	0.0006508391294876757	40	13	20	20	698
78	Amendment_to_deletion_policy	2006-04-13 18:25:12 UTC	Proposal	3	0	9.490950044099414e-05	2.9977237284488646e-06	5	4	22	22	1577
79	Amnesia_test	2006-06-21 18:58:40 UTC	Essay	1	0	0.00014851486633812045	0.0001297348213589814	29	21	10	10	3246
80	An_article_about_yourself_isn't_necessarily_a_good_thing	2009-12-03 05:25:14 UTC	Essay	1	0	0.0009458946840578742	0.0006166983870247859	455	230	76	76	2614
81	An_article_is_the_sum_of_its_parts	2010-08-25 14:34:29 UTC	Essay	1	0	0.00026882690957364834	1.4488998020836178e-05	12	8	3	3	1219
82	An_uncivil_environment_is_a_poor_environment	2007-06-07 00:35:31 UTC	Essay	2	0	8.670867953882183e-05	0.00012124127079504296	27	19	7	7	1013
83	An_unfinished_house_is_a_real_problem	2009-07-26 23:22:20 UTC	Essay	1	0	0.00013241325456678213	0.00013473102757306286	24	14	7	7	3642
84	Anarchism_referencing_guidelines	2008-07-28 19:32:28 UTC	Guideline	1	0	0.0005339534487402189	0.00021833421155535897	141	25	168	168	492
85	Anatomy_of_a_template	2006-11-06 17:02:23 UTC	Essay	4	0	8.870887975886387e-05	2.281600837763858e-05	32	23	3	3	2972
86	Annotated_article	2004-12-19 03:56:06 UTC	Other	5	0	0.0002208221042926397	0.00010258876759580559	139	90	20	20	14049
87	Anonymity	2005-11-03 01:13:40 UTC	Essay	3	0	0.00012071208327953628	2.8478375420264213e-05	33	20	5	5	385
88	Another_list_of_Wikipedians_in_order_of_arrival	2004-11-04 15:56:35 UTC	Other	3	0	8.600860946180713e-05	4.330045385537249e-06	27	19	2	2	36049
89	Anti-Wikipedian	2014-08-29 04:05:17 UTC	Essay	2	0	0.00020972099307140646	2.614681252035954e-05	25	8	1	1	1267
90	Anti-Wikipedianism	2008-01-27 10:04:41 UTC	Essay	2	0	9.590960055101516e-05	1.598785988506061e-05	55	28	3	3	7434
91	Anti-elitism	2005-08-05 16:48:26 UTC	Essay	8	0	0.00026432645907855377	1.9984824856325764e-05	96	46	37	37	171
92	Anything_to_declare?	2007-11-11 22:06:32 UTC	Essay	3	0	0.00021902192409460188	2.4981031070407205e-06	17	12	9	9	538
93	Apology	2008-04-15 09:08:30 UTC	Essay	2	0	0.0004528453298175147	0.00013439794715879076	41	23	15	15	322
94	Appealing_a_block	2006-06-30 22:35:51 UTC	Guideline	3	0	0.0007371737910964888	0.0004698099243307915	254	138	163	163	2356
95	Appeals_to_Jimbo	2010-01-14 11:45:15 UTC	Essay	10	0	0.0002502250475272575	3.414074246288984e-05	83	40	15	15	2244
96	Applying_Reliability_Guidelines	2015-03-11 04:25:25 UTC	Essay	1	0	0.00043234327756208396	9.159711392482641e-05	61	4	12	12	2805
97	April_Fool's_Main_Page	2010-04-02 00:32:37 UTC	Humor	9	0	0.0002213221543476502	9.342905620332295e-05	13	8	174	174	55
98	April_Fools	2007-05-31 12:38:37 UTC	Humor	9	0	0.00024072409648205785	0.0002558057581609698	120	68	55	55	16405
99	Arbitration_Committee	2004-01-16 20:08:17 UTC	Other	3	0	0.007614962257721998	0.001591458219392075	1763	423	7143	7143	1060
100	Arbitration_Role_of_Jimmy_Wales_in_the_English_Wikipedia	2009-06-29 16:48:01 UTC	Proposal	3	0	8.730873960483445e-05	4.1635051784012005e-06	9	6	420	420	4838
101	Arbs_are_people_too	2013-03-14 23:40:00 UTC	Essay	2	0	0.00010661067172823999	4.1635051784012005e-06	51	41	25	25	1344
102	Arguments_to_avoid_in_adminship_discussions	2007-02-09 09:51:03 UTC	Essay	3	0	0.0002657265992325832	6.145333643320173e-05	152	101	41	41	1296
103	Arguments_to_avoid_in_deletion_discussions	2006-08-06 19:35:45 UTC	Essay	1	0	0.002252825507833334	0.0022076569857954528	1905	587	1731	1731	5088
104	Arguments_to_avoid_in_deletion_reviews	2010-10-24 17:14:18 UTC	Essay	1	0	8.45084592967756e-05	0.00011974240893081854	29	7	3	3	131
105	Arguments_to_avoid_in_edit_wars	2009-11-03 15:39:46 UTC	Essay	2	0	0.00047034708174288246	6.112025601892963e-05	92	33	4	4	714
106	Arguments_to_avoid_in_feature_discussions	2007-09-17 13:43:55 UTC	Essay	3	0	8.840884972585756e-05	1.7986342370693187e-05	40	19	6	6	427
107	Arguments_to_avoid_in_image_deletion_discussions	2011-06-09 21:08:04 UTC	Essay	1	0	0.0006075608168377654	0.0004892951285657091	225	24	40	40	6499
108	Arguments_to_avoid_in_music-related_discussions	2011-09-12 01:02:44 UTC	Essay	1	0	8.710871958283025e-05	5.495826835489585e-06	6	3	0	0	1135
109	Arguments_to_avoid_in_place_and_transportation_related_deletion_discussions	2011-08-24 21:37:38 UTC	Essay	1	0	8.750875962683865e-05	1.2490515535203602e-05	35	5	2	2	873
110	Arguments_to_avoid_on_discussion_pages	2011-08-21 15:18:32 UTC	Essay	1	0	0.0005215522073759583	0.00011041615733119985	38	16	6	6	519
111	Arguments_to_make_in_deletion_discussions	2008-09-09 03:27:43 UTC	Essay	1	0	0.0002355235759099486	0.0010148960222870766	61	23	8	8	240
112	Argumentum_ad_Jimbonem	2006-11-25 00:15:25 UTC	Essay	10	0	0.00027802783058584167	2.631335272749559e-05	77	42	45	45	609
113	Article_Feedback_Tool	2010-10-07 18:42:11 UTC	Other	3	0	0.00013131314444575902	5.595750959771214e-05	418	261	438	438	1574
114	Article_checklist	2007-08-15 11:40:24 UTC	Essay	4	0	8.570857942880082e-05	2.7312593970311875e-05	41	11	5	5	570
115	Article_development	2006-06-03 08:09:22 UTC	Essay	4	0	0.0006144615075969104	0.0012084157429791645	289	189	212	212	19149
116	Article_series	2004-01-10 22:55:32 UTC	Essay	4	0	0.00047754780253503375	6.095371581179358e-05	186	76	194	194	6392
117	Article_size	2003-03-07 12:14:21 UTC	Guideline	4	0	0.0019043906295020132	0.0014588922145117808	1017	571	897	897	817
118	Article_titles	2001-11-24 03:48:43 UTC	Policy	4	0	0.006592559915247516	0.002080253727336376	3660	958	24399	24399	15869
119	Article_traffic_jumps	2009-03-17 15:36:37 UTC	Other	6	0	9.92099309140845e-05	5.229362504071908e-05	236	52	4	4	262
120	Articlecountitis	2013-09-09 10:08:05 UTC	Essay	3	0	0.00012021203322452577	1.3822837192291987e-05	7	5	0	0	3416
121	Articles_for_merging	2010-03-07 00:34:22 UTC	Proposal	2	0	9.14091500559206e-05	7.610887466117394e-05	17	5	14	14	401
122	Articles_on_elections	2005-03-28 13:11:19 UTC	Essay	5	0	8.480848932978191e-05	8.993171185346594e-06	36	24	11	11	3123
123	Articles_on_sources	2013-03-28 12:40:41 UTC	Essay	1	0	0.0004203420762418318	6.69491632686913e-05	13	1	2	2	1136
124	Articles_with_a_single_source	2009-03-18 15:39:14 UTC	Essay	1	0	0.00034823485830931674	0.00011807700685945806	50	22	5	5	1404
125	Artist's_impressions_of_astronomical_objects	2015-08-13 17:43:13 UTC	Proposal	2	0	8.700870957182814e-05	0.0	22	4	47	47	2597
126	As_of	2003-06-16 20:17:36 UTC	Guideline	4	0	0.0005367537290482778	0.0013498083788376692	385	161	241	241	648
127	Assessing_reliability	2008-01-20 19:57:20 UTC	Essay	5	0	9.450946039698574e-05	2.964415687021655e-05	43	15	15	15	4856
128	Assignments	2013-03-27 14:05:07 UTC	Essay	4	0	9.210922013293531e-05	6.328527871169825e-06	17	4	18	18	4261
129	Assume_Ignorance	2008-09-15 22:47:18 UTC	Essay	2	0	0.0003878388226661489	1.5654779470788516e-05	15	6	1	1	527
130	Assume_bad_faith	2004-12-16 21:18:39 UTC	Humor	2	0	0.0006232623885650953	0.00015621471429361306	292	175	35	35	33
131	Assume_good_faith	2004-03-03 22:44:27 UTC	Guideline	2	0	0.010276328660498915	0.005298976310654776	1292	795	1139	1139	915
132	Assume_good_wraith	2007-07-16 04:51:06 UTC	Essay	2	0	0.00024002402640504314	0.00011091577795260799	32	29	7	7	2075
133	Assume_high_intelligence	2006-11-20 21:07:28 UTC	Essay	2	0	8.790879967084705e-05	8.493550563938449e-06	14	11	23	23	1042
134	Assume_no_clue	2008-12-23 16:57:50 UTC	Essay	2	0	0.0006490649714036375	0.00013056752239466165	42	23	9	9	40
135	Assume_stupidity	2007-01-14 01:16:54 UTC	Humor	2	0	0.0001908191009920093	0.0001137469614739208	48	34	8	8	1984
136	Assume_that_everyone's_assuming_good_faith,_assuming_that_you_are_assuming_good_faith	2007-10-24 12:48:22 UTC	Humor	2	0	0.00018111812992480548	9.276289537477875e-05	10	7	3	3	271
137	Assume_the_assumption_of_assuming_good_faith	2007-05-18 17:31:32 UTC	Essay	2	0	0.00017321733905563947	1.3656296985155937e-05	18	13	10	10	370
138	Assume_the_assumption_of_good_faith	2006-03-30 20:43:29 UTC	Essay	2	0	0.0008653866252011826	0.00015071888745812347	133	57	65	65	1137
139	Attack_page	2005-12-02 05:25:43 UTC	Policy	1	0	0.0013538355189354455	0.0010492033049571026	318	218	284	284	713
140	Attack_sites	2007-04-06 20:28:02 UTC	Proposal	3	0	8.330833916475038e-05	3.080993832016889e-05	237	69	1415	1415	2470
141	Attribution	2006-10-11 04:22:28 UTC	Other	1	0	0.0006857686454414087	0.0001400603142014164	1683	289	6660	6660	14272
142	Attribution_needed	2010-07-14 14:55:58 UTC	Essay	2	0	8.690869956082604e-05	9.309597578905084e-05	11	4	3	3	2839
143	Authority_control	2011-06-15 17:59:52 UTC	Other	4	0	0.00011921193311450477	0.0002008474898060739	78	45	239	239	6087
144	Authors_of_Wikipedia	2009-06-02 11:59:24 UTC	Essay	7	0	0.00036863690055374544	5.329286628353537e-05	57	27	2	2	2227
145	AutoWikiBrowser	2005-12-01 16:37:50 UTC	Other	3	0	0.0008363837220105733	0.0027652335992869414	999	370	14812	14812	12
146	Autobiography	2003-07-30 04:44:22 UTC	Guideline	1	0	0.0013712372608498111	0.0013862806842004638	1332	747	924	924	407
147	Autochecked_users	2011-12-01 19:04:10 UTC	Proposal	3	0	0.00020892091298338963	4.7797039448045785e-05	40	22	20	20	158
148	Automatic_edit_summaries	2006-11-17 07:32:02 UTC	Essay	3	0	0.00023202322552487504	0.0018918967530655057	540	331	160	160	350
149	Autopatrolled	2009-06-22 16:34:55 UTC	Other	3	0	0.00028812884169705387	0.000253141114846793	208	124	132	132	609
150	Avoid_Parkinson's_Bicycle_Shed_Effect	2006-04-25 17:53:11 UTC	Essay	2	0	9.800981078205928e-05	6.961380658286808e-05	47	32	13	13	2119
151	Avoid_data-hoarding	2012-10-29 11:02:17 UTC	Essay	7	0	8.560856941779872e-05	1.848596299210133e-05	4	4	4	4	5718
152	Avoid_instruction_creep	2006-01-22 05:14:05 UTC	Essay	2	0	0.0018098811691050275	0.00023765287558314053	501	107	298	298	48
153	Avoid_mission_statements	2009-11-13 17:35:44 UTC	Essay	1	0	0.00010351036138717485	0.00015471585242938862	31	15	6	6	2210
154	Avoid_personal_remarks	2004-11-04 21:29:56 UTC	Essay	2	0	0.0004808481328981031	0.00011541236354528128	61	37	7	7	450
155	Avoid_repeated_arguments	2008-08-04 11:35:55 UTC	Essay	2	0	0.0001449145059420448	0.00014439035958695363	23	12	6	6	1616
156	Avoid_template_creep	2007-07-11 19:22:26 UTC	Essay	4	0	0.0001532153368552192	3.897040846983524e-05	82	17	7	7	3861
157	Avoid_the_word_"vandal"	2007-04-04 03:46:16 UTC	Essay	2	0	0.0004713471818529035	0.00013473102757306286	81	51	30	30	1234
158	Avoid_thread_mode	2007-10-09 03:23:15 UTC	Essay	1	0	0.0009219922914283719	6.76153240972355e-05	45	22	7	7	4015
159	Avoid_using_meta-templates	2005-02-04 19:04:27 UTC	Proposal	4	0	0.00015701571727329906	2.6812973348903732e-05	408	73	1249	1249	5507
160	Avoid_using_preview_button	2005-04-30 14:54:03 UTC	Humor	3	0	0.00011841185302648795	0.00010958345629551961	32	28	4	4	1198
161	Avoid_writing_redundant_essays	2012-08-11 19:38:49 UTC	Essay	2	0	0.00021202122332445478	0.00013189984405175003	45	9	1	1	356
162	Avoiding_MediaWiki_expansion_depth_limit	2010-12-19 15:50:47 UTC	Essay	7	0	0.00012381239362060142	1.965174444205367e-05	15	5	4	4	7529
163	Avoiding_POV_funnels	2011-05-04 07:16:10 UTC	Essay	7	0	0.00027252727998072605	1.4822078435108275e-05	4	3	0	0	1721
164	Avoiding_Wikipedia_quirks	2009-04-19 10:05:53 UTC	Essay	7	0	0.0002510251276152743	1.8152882577829235e-05	18	11	3	3	5337
165	Avoiding_common_mistakes	2001-10-30 02:19:31 UTC	Essay	4	0	0.0008122813093590669	0.0015170147468022614	351	240	55	55	5438
166	Avoiding_difficult_users	2009-06-10 12:26:58 UTC	Essay	7	0	0.00040174021419544094	1.7653261956421092e-05	15	9	2	2	7897
167	Avoiding_edit-conflicts	2012-10-27 01:37:48 UTC	Essay	7	0	8.960896985788278e-05	1.4488998020836178e-05	10	5	2	2	3630
168	Avoiding_harm	2007-06-29 13:22:09 UTC	Essay	3	0	0.0005959596555615217	6.611646223301106e-05	130	42	223	223	2691
169	Avoiding_talk-page_disruption	2012-03-13 15:49:37 UTC	Essay	2	0	0.00022362238460069852	1.2823595949475699e-05	203	8	166	166	2231
170	Avoiding_untrue_text_in_articles	2011-07-28 06:41:41 UTC	Essay	1	0	0.0001314131544567611	1.2823595949475699e-05	5	4	1	1	4073
171	Award_barnstars	2009-12-06 18:17:03 UTC	Essay	2	0	0.00011231124235535977	1.432245781370013e-05	11	7	4	4	2332
172	BLP2E	2011-10-04 13:07:02 UTC	Essay	1	0	0.00014701471617308893	8.826630978210546e-06	20	10	9	9	439
173	BLP_policy_advises_fix_over_delete	2009-07-21 13:46:17 UTC	Essay	7	0	0.00011891190308149846	7.161228906850065e-06	11	7	2	2	3565
174	BLP_problem	2009-06-09 06:08:07 UTC	Essay	3	0	0.0001146114726084081	7.327769113986113e-06	34	14	23	23	837
175	BOLD,_revert,_discuss_cycle	2005-11-26 20:08:57 UTC	Essay	2	0	0.0028356838519535805	0.0013254935085958062	705	224	1228	1228	2817
176	BOLD,_revert,_revert,_revert	2008-02-22 01:07:47 UTC	Humor	2	0	0.00035043507855136297	0.00010342146863148583	56	35	5	5	2792
177	BRD_misuse	2008-01-30 05:36:56 UTC	Essay	2	0	0.0002523252577583016	2.6479892934631636e-05	63	35	8	8	4023
178	Baby_and_bathwater	2011-10-04 19:25:38 UTC	Essay	1	0	0.0001845184702988769	1.5488239263652468e-05	14	8	2	2	2087
179	Back_to_top	2010-03-06 22:28:50 UTC	Essay	-1	0	8.500850935178611e-05	1.6987101127876898e-05	7	4	2	2	405
180	Bacon_WikiCup	2010-03-14 05:22:15 UTC	Culture	-1	0	8.680868954982394e-05	4.496585592673297e-06	20	8	2	2	2479
181	Bad_Idea_Machine	2008-09-27 03:40:43 UTC	Humor	2	0	0.00035393542893643655	2.0484445477733907e-05	20	14	5	5	242
182	Bad_Jokes_and_Other_Deleted_Helpdesk_Emails	2005-11-12 21:55:03 UTC	Humor	9	0	0.00010951096204730094	1.6987101127876898e-05	54	39	4	4	1149
183	Bad_Jokes_and_Other_Deleted_Unblock_Emails	2007-05-05 17:25:29 UTC	Humor	9	0	0.00015021503652515617	0.00011624506458096152	36	18	0	0	804
184	Banning_policy	2004-05-07 23:09:51 UTC	Policy	3	0	0.0037369740711045174	0.0008874927638279999	1318	568	3316	3316	5054
185	Bare_URLs	2009-03-04 04:42:50 UTC	Essay	4	0	0.00019361938130006814	0.0002694620551461257	96	49	31	31	892
186	Bare_notability	2009-03-11 22:59:01 UTC	Essay	1	0	0.0001687168885605449	0.00011041615733119985	56	22	14	14	2178
187	Barnstaritis	2008-05-30 12:44:17 UTC	Essay	2	0	0.00015701571727329906	0.00021200568368418915	62	35	7	7	1321
188	Basic_bitmap_image_editing	2003-03-29 13:41:42 UTC	Other	5	0	0.00014781479626110573	0.0006788178842865318	97	58	1	1	4800
189	Basic_copyediting	2004-06-28 00:15:25 UTC	Essay	4	0	0.00058445850429628	0.0016395883392543928	1319	830	319	319	4905
190	Basic_copyright_issues	2006-03-18 16:27:38 UTC	Essay	5	0	0.00021232125335746108	6.195295705460987e-05	43	23	21	21	7493
191	Basic_dignity	2007-02-21 15:40:10 UTC	Essay	4	0	9.690970066103617e-05	1.265705574233965e-05	42	19	31	31	106
192	Be_Afraid	2007-05-12 21:18:44 UTC	Humor	4	0	0.00011831184301548585	6.161987664033777e-06	40	15	18	18	2683
193	Be_a_sweetums	2008-05-18 21:38:27 UTC	Essay	2	0	8.43084392747714e-05	8.660090771074498e-06	4	3	4	4	370
